20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
8CK	10CK	12EK	14EK	15EK	15EK	18EK	18EK	16EK	18EK	22EK	22EK	10EK	10EK	15EK	18EK	12EK	15EK	18EK	20EK
8CG	10CG	12DG	14EG	15EG	15EG	18EG	18EG	16EG	18EG	22EG	22EG	10EG	10EG	15EG	18EG	12EG	15EG	18EG	20EG
8BK	10CK	12DK	14EK	15EK	15EK	18EK	18EK	16EK	18EK	22EK	22EK	10EK	10EK	15EK	18EK	12EK	15EK	18EK	20EK
8BG	10BG	12CG	14DG	15DG	15DG	18DG	18EG	16EG	18EG	22EG	22EG	10EG	10EG	15EG	18EG	12EG	15EG	18EG	20EG
8BK	10BK	12CK	14DK	15DK	15DK	18DK	18EK	16EK	18EK	21EK	21EK	10EK	10EK	15EK	18EK	12EK	15EK	18EK	20EK
8AG	10BG	12CG	14DG	15DG	15DG	18DG	17EG	16DG	17EG	21EG	21EG	10EG	10EG	15EG	18EG	12EG	15EG	18EG	20EG
8AK	10BK	12CK	14DK	15DK	15DK	17DK	17EK	15DK	17EK	21EK	21EK	10EK	10EK	15EK	17EK	12EK	15EK	18EK	19EK
8AG	10AG	12CG	13DG	14DG	14DG	17DG	17DG	15DG	17DG	21DG	21EG	10EG	10EG	15EG	17EG	12EG	14EG	18EG	19EG
8AK	10AK	12BK	13CK	14CK	14DK	17DK	17DK	15DK	17DK	20DK	20EK	10EK	10EK	14EK	17EK	11EK	14EK	17EK	19EK
8AK	10AG	11BG	13CG	14CG	14CG	17CG	17DG	15DG	16DG	20DG	20EG	10EG	10EG	14EG	17EG	11EG	14EG	17EG	19EG
8	10AK	11BK	13CK	14CK	14CK	17CK	16DK	15DK	16DK	20DK	20EK	10EK	10EK	14EK	17EK	11EK	14EK	17EK	19EK
8	9AG	11BG	13CG	14CG	14CG	16CG	16DG	15CG	16DG	20DG	19DG	10DG	10EG	14EG	17EG	11EG	14EG	17EG	18EG
8	9AK	11BK	13CK	14CK	14CK	16CK	16DK	14CK	16DK	19DK	19DK	10DK	10EK	14EK	16EK	11EK	14EK	17EK	18EK
8	9AG	11BG	13CG	14CG	13CG	16CG	16DG	14CG	16DG	19DG	19DG	10DG	9DG	14EG	16EG	11EG	14EG	17EG	18EG
8	9AK	11AK	12BK	13BK	13CK	16CK	16DK	14CK	15DK	19DK	19DK	9DK	9DK	14EK	16EK	11EK	13EK	17EK	18EK
7	9	11AG	12BG	13BG	13CG	16CG	15DG	14CG	15CG	19DG	18DG	9DG	9DG	13DG	16EG	10DG	13EG	16EG	18EG
7	9	11AK	12BK	13BK	13BK	15CK	15DK	14CK	15CK	18DK	18DK	9DK	9DK	13DK	16EK	10DK	13EK	16EK	18EK
7	9	10AG	12BG	13BG	13BG	15CG	15CK	13CG	15CG	18CG	18DG	9DG	9DG	13DG	16EG	10DG	13EG	16EG	17EG
7	9	10AK	12BK	13BK	13BK	15CK	15CK	13CK	14CK	18CK	17DK	9DK	9DK	13DK	15DK	10DK	13DK	16EK	17EK
7	9	10AG	12BG	13BG	13BG	15CG	15CG	13CG	14CG	18CG	17DG	9DG	9DG	13DG	15DG	10DG	13DG	16EG	17EG
7	9	10AK	12BK	13AK	12BK	15BK	14CK	13CK	14CK	17CK	17DK	9DK	9DK	13DK	15DK	10DK	13DK	16EK	17EK
7	9	10AG	11BG	12AG	12BG	14BG	14CG	13CG	14CG	17CG	17DG	9CG	9DG	13DG	15DG	10DG	12DG	16EG	17EG
7	8	10AK	11AK	12AK	12BK	14BK	14CK	13CK	14CK	17CK	16DK	9CK	9DK	13DK	15DK	10DK	12DK	16EK	16EK
7	8	10AG	11AG	12AG	12BG	14BG	14CG	12BG	13CG	16CG	16DG	9CG	9DG	12DG	14DG	9DG	12DG	15EG	16EG
7	8	10AK	11AK	12AK	12AK	14BK	14CK	12BK	13CK	16CK	16CK	9CK	9DK	12DK	14DK	9DK	12DK	15EK	16DK
7	8	9	11AG	12AG	12AG	14BG	13CG	12BG	13CG	16CG	15CG	9CG	9DG	12DG	14DG	9DG	12DG	15EG	16DG
7	8	9	11AK	12AK	11AK	13BK	13CK	12BK	13CK	16CK	15CK	9CK	8DK	12DK	14DK	9DK	12DK	15DK	16DK
7	8	9	10AG	12AG	11AK	13BG	13BG	12BG	12DG	15CG	15CG	8CG	8DG	12DG	14DG	9DG	12DG	15DG	16DG
