11EP	13EP	15EP	17EP	22EP	22EP	25EP	25EP	20EP	22EP	26EP	26EP	21EP	21EP	26EP	29EP	17EP	20EP	23EP	27EP
11EP	13EP	15EP	17EP	22EP	22EP	25EP	25EP	20EP	22EP	26EP	26EP	21EP	21EP	26EP	29EP	17EP	20EP	23EP	27EP
11EP	13EP	15EP	17EP	22EP	22EP	25EP	25EP	20EP	22EP	26EP	26EP	21EP	21EP	26EP	29EP	17EP	20EP	23EP	27EP
11EP	13EP	15EP	17EP	22EP	22EP	25EP	25EP	20EP	22EP	25EP	25EP	21EP	21EP	26EP	29EP	17EP	20EP	23EP	26EP
11EP	13EP	15EP	17EP	22EP	21EP	24EP	24EP	19EP	21EP	25EP	25EP	21EP	21EP	25EP	28EP	17EP	19EP	23EP	26EP
11DP	13DP	15EP	16EP	21EP	21EP	24EP	24EP	19EP	21EP	25EP	25EP	20EP	20EP	25EP	28EP	16EP	19EP	22EP	26EP
11DP	13DP	14EP	16EP	21EP	21EP	24EP	24EP	19EP	21EP	24EP	24EP	20EP	20EP	25EP	28EP	16EP	19EP	22EP	25EP
11DP	12DP	14DP	16EP	21EP	21EP	23EP	24EP	19DP	20EP	24EP	24EP	20EP	20EP	24EP	27EP	16EP	19EP	22EP	25EP
11DP	12DP	14DP	16EP	21DP	20DP	23EP	23EP	18DP	20EP	24EP	24EP	20EP	20EP	24EP	27EP	16EP	18EP	22EP	25EP
11DP	12DP	14DP	15EP	20DP	20DP	23DP	23EP	18DP	20EP	23EP	23EP	20EP	19EP	24EP	27EP	15EP	18EP	21EP	24EP
10CP	12CP	14DP	15EP	20DP	20DP	22DP	22EP	18DP	19DP	23DP	23EP	19EP	19EP	24EP	26EP	15EP	18EP	21EP	24EP
10CP	12CP	13DP	15DP	20DP	20DP	22DP	22EP	18DP	19DP	23DP	23EP	19DP	19EP	23EP	26EP	15EP	18EP	21EP	24EP
10CP	12CP	13DP	15DP	20DP	19DP	22DP	22EP	17DP	19DP	22DP	22EP	19DP	19EP	23EP	26EP	15EP	17EP	21EP	23EP
10CP	12CP	13DP	15DP	19DP	19DP	21DP	21DP	17DP	18DP	22DP	22DP	19DP	19EP	23EP	25EP	14DP	17EP	21EP	23EP
10CP	11CP	13DP	14DP	19DP	19DP	21DP	21DP	17DP	18DP	22DP	22DP	19DP	18DP	22EP	25EP	14DP	17EP	20EP	23EP
10CP	11CP	13CP	14DP	19DP	19DP	21DP	21DP	17CP	18DP	21DP	21DP	18DP	18DP	22EP	25EP	14DP	16EP	20EP	22EP
10BP	11CP	13CP	14DP	19DP	18DP	21DP	20DP	16CP	17DP	21DP	21DP	18DP	18DP	22DP	24DP	14DP	16DP	20EP	22EP
10BP	11BP	12CP	14DP	18DP	18DP	20DP	20DP	16CP	17DP	21DP	21DP	18DP	18DP	22DP	24DP	13DP	16DP	20EP	22EP
10BP	11BP	12CP	13DP	18DP	18DP	20DP	20DP	16CP	17DP	20DP	20DP	18DP	17DP	21DP	24DP	13DP	16DP	19EP	21EP
9BP	11BP	12CP	13DP	18CP	18DP	20DP	19DP	16CP	16DP	20DP	20DP	18DP	17DP	21DP	23DP	13DP	15DP	19EP	21EP
9BP	11BP	12CP	13DP	18CP	17CP	19DP	19DP	15CP	16DP	19DP	20DP	17DP	17DP	21DP	23DP	13DP	15DP	19EP	21EP
9AP	10BP	12CP	13DP	17CP	17CP	19CP	19DP	15CP	16DP	19DP	19DP	17DP	17DP	20DP	23DP	12DP	15DP	19EP	20DP
9AP	10BP	11CP	13DP	17CP	17CP	19CP	18DP	15CP	15CP	19DP	19DP	17CP	17DP	20DP	22DP	12DP	15DP	18EP	20DP
9AP	10BP	11CP	12CP	17CP	17CP	18CP	18DP	15CP	15CP	18DP	19DP	17CP	16DP	20DP	22DP	12DP	14DP	18EP	20DP
9AP	10AP	11BP	12CP	17CP	16CP	18CP	18DP	14CP	15CP	18CP	18DP	16CP	16DP	20DP	22DP	12DP	14DP	18DP	19DP
9AP	10AP	11BP	12CP	16CP	16CP	18CP	17DP	14CP	15CP	18CP	18DP	16CP	16DP	19DP	21DP	11CP	14DP	18DP	19DP
9AP	10AP	11BP	12CP	16CP	16CP	17CP	17DP	14CP	14CP	17CP	17DP	16CP	16DP	19DP	21DP	11CP	14DP	18DP	19DP
