21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	44EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	44EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	43EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	30EK	34EK	34EK	34EK	34EK	38EK	41EK	35EK	38EK	41EK	43EK
21EK	23EK	25EK	26EK	27EK	27EK	30EK	30EK	28EK	30EK	34EK	34EK	33EK	33EK	38EK	41EK	35EK	38EK	41EK	42EK
21EK	23EK	24EK	26EK	27EK	27EK	30EK	30EK	28EK	30EK	34EK	34EK	33EK	33EK	37EK	40EK	34EK	37EK	40EK	42EK
21EK	22EK	24EK	26EK	27EK	27EK	30EK	30EK	28EK	29EK	33EK	33EK	33EK	33EK	37EK	40EK	34EK	37EK	40EK	41EK
20EK	22EK	24EK	26EK	27EK	27EK	29EK	29EK	27EK	29EK	33EK	33EK	32EK	32EK	37EK	39EK	33EK	36EK	40EK	41EK
20EK	22EK	24EK	25EK	26EK	26EK	29EK	29EK	27EK	29EK	32EK	32EK	32EK	32EK	36EK	39EK	33EK	36EK	39EK	40EK
20EK	22EK	23EK	25EK	26EK	26EK	29EK	29EK	27EK	28EK	32EK	32EK	32EK	32EK	36EK	39EK	32EK	35EK	39EK	40EK
20DK	22DK	23EK	25EK	26EK	26EK	28EK	28EK	27EK	28EK	32EK	32EK	31EK	31EK	35EK	38EK	32EK	35EK	38EK	39EK
20DK	21DK	23EK	25EK	26EK	26EK	28EK	28EK	26EK	28EK	31EK	31EK	31EK	31EK	35EK	38EK	31EK	34EK	38EK	39EK
20DK	21DK	23DK	24EK	25EK	25EK	28EK	28EK	26EK	27EK	31EK	31EK	31EK	31EK	35EK	37EK	31EK	34EK	37EK	38EK
19DK	21DK	22DK	24EK	25EK	25EK	27EK	27EK	26EK	27EK	31EK	30EK	30EK	30EK	34EK	37EK	30EK	33EK	37EK	38EK
19DK	21DK	22DK	24EK	25DK	25DK	27EK	27EK	25EK	26EK	30EK	30EK	30EK	30EK	34EK	36EK	30EK	33EK	37EK	37EK
19DK	21DK	22DK	23EK	25DK	24DK	27DK	27EK	25EK	26EK	30EK	30EK	30EK	30EK	33EK	36EK	30EK	32EK	36EK	37EK
19DK	20DK	22DK	23DK	24DK	24DK	26DK	26EK	25DK	26EK	29EK	29EK	29DK	29EK	33EK	35EK	29EK	32EK	36EK	36EK
19DK	20DK	21DK	23DK	24DK	24DK	26DK	26EK	24DK	25EK	29EK	29EK	29DK	29EK	33EK	35EK	29EK	31EK	35EK	36EK
19CK	20DK	21DK	23DK	24DK	24DK	26DK	26DK	24DK	25EK	29EK	29EK	29DK	29EK	32EK	35EK	28EK	31EK	35EK	35EK
18CK	20CK	21DK	22DK	24DK	23DK	26DK	25DK	24DK	25DK	28DK	28EK	29DK	28DK	32EK	34EK	28EK	30EK	35EK	35EK
18CK	20CK	21DK	22DK	23DK	23DK	25DK	25DK	24DK	24DK	28DK	28EK	28DK	28DK	31EK	34EK	27EK	30EK	34EK	34EK
18CK	19CK	21DK	22DK	23DK	23DK	25DK	25DK	23DK	24DK	27DK	27EK	28DK	28DK	31DK	33EK	27EK	29EK	34EK	34EK
18CK	19CK	20DK	22DK	23DK	23DK	25DK	24DK	23DK	24DK	27DK	27DK	28DK	27DK	31DK	33EK	26DK	29EK	33EK	33EK
18CK	19CK	20CK	21DK	23DK	22DK	24DK	24DK	23DK	23DK	27DK	27DK	27DK	27DK	30DK	32DK	26DK	28EK	33EK	33EK
18CK	19CK	20CK	21DK	22DK	22DK	24DK	24DK	22DK	23DK	26DK	26DK	27DK	27DK	30DK	32DK	25DK	28DK	32EK	32EK
17CK	19CK	20CK	21DK	22DK	22DK	24DK	23DK	22DK	23DK	26DK	26DK	27DK	26DK	29DK	31DK	25DK	28DK	32EK	32EK
17CK	18CK	19CK	20DK	22DK	22DK	23DK	23DK	22DK	22DK	26DK	25DK	26DK	26DK	29DK	31DK	24DK	27DK	32EK	31EK
17BK	18CK	19CK	20DK	22CK	21DK	23DK	23DK	21DK	22DK	25DK	25DK	26DK	26DK	29DK	31DK	24DK	27DK	31EK	31EK
17BK	18CK	19CK	20DK	21CK	21CK	23DK	22DK	21DK	21DK	25DK	25DK	26DK	25DK	28DK	30DK	23DK	26DK	31EK	30EK
17BK	18BK	19CK	20DK	21CK	21CK	22DK	22DK	21DK	21DK	24DK	24DK	25DK	25DK	28DK	30DK	23DK	26DK	30EK	30EK
17BK	18BK	18CK	19DK	21CK	20CK	22CK	22DK	21CK	21DK	24DK	24DK	25CK	25DK	27DK	29DK	23DK	25DK	30EK	29DK
16AK	17BK	18CK	19CK	21CK	20CK	22CK	21DK	20CK	20DK	24DK	23DK	25CK	24DK	27DK	29DK	22DK	25DK	29EK	29DK
16AK	17BK	18CK	19CK	20CK	20CK	21CK	21DK	20CK	20DK	23DK	23DK	24CK	24DK	26DK	28DK	22DK	24DK	29DK	28DK
16AP	17BK	18CK	19CK	20CK	20CK	21CK	21DK	20CK	20DK	23DK	23DK	24CK	24DK	26DK	28DK	21DP	24DK	29DK	28DK
16AK	17AK	17CK	18CK	20CK	19CK	21CK	20DK	19CK	19DK	22DK	22DK	24CK	23DK	26DK	27DK	21DK	23DK	28DK	27DK
16AP	17AK	17BK	18CK	20CK	19CK	21CK	20DK	19CK	19DK	22DK	22DK	24CK	23DK	25DK	27DK	20DP	23DP	28DK	27DK
16AK	16AP	17BK	18CK	19CK	19CK	20CK	20CK	19CK	19CK	22DK	22DK	23CK	23DK	25DK	27DK	20DK	22DK	27DK	26DP
15AP	16AK	17BK	17CK	19CK	19CK	20CK	19CK	19CK	18CK	21DK	21DK	23CK	22DK	24DK	26DK	19DP	22DP	27DK	26DK
15AK	16AP	16BK	17CK	19CK	18CK	20CK	19CK	18CK	18CK	21CK	21DK	23CK	22DK	24DK	26DK	19DK	21DK	27DK	25DP
15	16AK	16BK	17CK	19CK	18CK	19CK	19CK	18CK	18CK	21CK	20DK	22CK	22CK	24DK	25DK	18DP	21DP	26DK	25DK
