2AK	4CK	6DK	8EK	8DK	8EK	11EK	11EK	7EK	9EK	13EK	13EK	10EK	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	4BK	6CK	8EK	8CK	8DK	11DK	11EK	7EG	9EK	13EK	13EK	10EK	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	4AK	6CG	8DK	8CK	8DK	11DK	11EK	7EK	9EG	13EG	13EK	10EK	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	4AK	6CK	8DK	8CK	8CK	11CK	11DK	7DK	9EK	13EK	13EK	10EK	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	4AG	6BK	8CK	8BK	8CK	11CK	11DK	7DG	9DK	13DK	13EK	10EG	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	4AK	6BK	8CK	8BK	8CK	11CK	11DG	7DK	9DK	13DK	13EG	10EK	10EG	15EK	18EK	19EK	22EK	25EK	26EK
2	4	6BG	8CK	8BK	8CG	11CK	11DK	7CK	9DG	13DK	13EK	10DK	10EK	15EG	18EK	18EG	21EK	24EK	26EK
2	4	6BK	8CG	8BK	8CK	11CK	11CK	7CK	9DK	13DK	13DK	10DK	10DK	15EK	17EK	18EK	21EK	24EK	26EK
2	4	6AK	8CK	8AK	8BK	11CG	11CK	7CK	9CK	13DG	12DK	10DK	10DK	15DK	17EG	18DK	21EG	24EK	26EK
2	4	6AK	8BK	8AK	8BK	11CK	11CK	7CK	9CK	12DK	12DK	10DK	10DK	14DK	17EK	18DK	21EK	24EK	25EK
2	4	6AK	8BK	8AK	8BK	11BK	10CK	7CK	9CK	12CK	12DK	10DG	10DK	14DK	17DK	18DK	21DK	24EK	25EK
2	4	6AK	8BK	8AK	8BG	10BK	10CK	7CK	9CK	12CK	12DK	10DK	10DK	14DK	17DK	17DK	20DK	23EK	25EK
2	4	6AK	8BK	8AK	8BK	10BK	10CK	7CK	8CK	12CK	12DK	10CK	10DK	14DK	17DK	17DK	20DK	23EK	25EG
2	4	6AK	8BG	8AK	8AK	10BK	10CG	7CK	8CK	12CK	12DG	10CK	10DK	14DK	16DK	17DG	20DK	23EK	24EK
2	4	6AG	7BK	8AG	8AK	10BG	10CK	7CK	8CK	12CK	12DK	10CK	9DG	14DK	16DK	17DK	20DK	23EG	24DK
2	4	6AK	7AK	8AK	7AK	10BK	10BK	7CG	8CK	12CK	12CK	9CK	9DK	14DG	16DK	17CK	20DK	23EK	24DK
2	4	6	7AK	7	7AK	10AK	10BK	7CK	8CK	12CK	11CK	9CK	9CK	14DK	16DK	17CK	19DG	22DK	24DK
2	4	6	7AK	7	7AK	10AK	10BK	7BK	8CK	11CK	11CK	9CK	9CK	13CK	16DK	16CK	19DK	22DK	24DK
2	4	6	7AK	7	7AK	10AK	10BK	6BK	8CK	11CK	11CK	9CK	9CK	13CK	16DK	16CK	19CK	22DK	23DK
2	4	6	7AK	7	7AG	10AK	10BK	6BK	8CG	11CK	11CK	9CK	9CK	13CK	15DG	16CK	19CK	22DK	23DK
2	4	5	7AK	7	7AK	10AK	9BK	6BK	8CK	11CK	11CK	9CK	9CK	13CK	15DK	16CK	19CK	22DK	23DK
2	4	5	7AK	7	7	9AK	9BK	6BK	8BK	11CK	11CK	9CK	9CK	13CK	15CK	16CK	18CK	22DK	23DG
2	4	5	7AK	7	7	9AK	9BG	6BK	8BK	11CG	11CK	9CK	9CK	13CK	15CK	15CK	18CK	21DK	22DK
2	4	5	7AK	7	7	9AK	9BK	6BK	8BK	11CK	11CK	9CK	9CK	13CK	15CK	15CK	18CK	21DK	22CK
2	4	5	7AG	7	7	9AG	9AK	6BK	7BK	11BK	10CK	9CG	9CK	13CK	15CK	15CG	18CK	21DK	22CK
2	4	5	7AK	7	7	9AK	9AK	6BK	7BK	11BK	10CK	9CK	9CK	12CK	15CK	15CK	18CK	21DG	22CK
2	4	5	7	7	7	9	9AK	6BG	7BK	10BK	10CK	9BK	9CK	12CK	14CK	15BK	17CK	21DK	21CK
2	4	5	7	7	7	9	9AK	6BK	7BK	10BK	10CK	9BK	9CK	12CK	14CK	14BK	17CG	20CK	21CK
2	4	5	6	7	7	9	9AK	6AK	7BK	10BK	10CG	9BK	8CK	12CK	14CK	14BK	17CK	20CK	21CK
2	4	5	6	7	6	9	8AK	6AK	7BK	10BK	10CK	8BK	8CK	12CK	14CK	14BK	17BK	20CK	21CK
2	4	5	6	7	6	9	8AK	6AK	7BG	10BK	10BK	8BK	8CG	12CG	14CK	14BK	17BK	20CK	21CK
2	4	5	6	6	6	8	8AK	6AK	7BK	10BK	10BK	8BK	8CK	12CK	14CK	14BK	16BK	20CK	20CK
