F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
0	1	0	0	1	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0
1	1	1	0	2	1	1	0	1	0	0	0	3	3	3	2	0	0	0	0
1	1	1	1	2	1	1	0	1	0	0	0	3	3	3	2	0	0	0	0
1	2	1	1	2	2	1	1	1	0	1	0	4	3	3	2	0	0	4	0
1	2	1	2	2	2	2	1	2	0	2	0	4	4	3	3	0	0	4	0
2	2	2	2	2	2	2	2	2	1	2	1	4	4	4	3	1	0	5	0
2	2	2	2	2	2	2	2	2	2	2	2	5	4	4	4	2	0	5	0
2	2	2	2	3	2	3	2	2	2	3	2	5	5	5	4	2	3	5	4
2	2	2	2	3	3	3	2	3	2	3	2	5	5	5	5	3	3	6	5
2	2	2	2	3	3	3	3	3	2	3	3	6	5	5	5	3	4	6	5
2	3	3	3	3	3	3	3	3	3	4	3	6	5	6	6A	3	4	7	5
2	3	3	3	4	3	4	3	3	3	4	4A	6	6	6	6A	4	5	7A	6
2	3	3	3	4	4	4	4A	4	3	4	4A	6	6	7A	7A	4	5	8A	7
3	3	3	3A	4	4	4	4A	4	4	5	4A	7	6A	7A	7A	5	6	8A	7
3	3	3	4A	4	4	4	4A	4	4	5A	5A	7	7A	7A	8A	5	6	8A	8A
3	3	4	4A	4	4	5A	4A	5	4	5A	5A	7A	7A	8A	8A	6	7	9A	8A
3	3	4	4A	5	4	5A	5A	5	5A	6A	5A	8A	7A	8A	9A	6	7A	9A	9A
3	4	4A	4A	5	5A	5A	5A	5A	5A	6A	6A	8A	8A	9A	9B	6A	8A	10B	9A
3	4	4A	4A	5A	5A	6A	5A	5A	5A	7A	6B	8A	8A	9B	9B	7A	8A	10B	10A
3	4	4A	5A	5A	5A	6A	6B	6A	6A	7A	7B	9A	8B	9B	10B	7A	8A	11B	10A
3	4A	4A	5A	5A	5A	6A	6B	6A	6A	7A	7B	9A	9B	10B	10B	8A	9A	11B	11B
4A	4A	5A	5A	6A	6A	6B	6B	6A	6A	8B	7B	9B	9B	10B	11B	8A	9B	11B	11B
4A	4A	5A	5B	6A	6A	7B	6B	6A	7B	8B	8B	10B	9B	11B	11B	9A	10B	12C	12B
4A	5A	5A	6B	6A	6A	7B	7B	7A	7B	8B	8B	10B	10B	11B	12C	9B	10B	12C	12B
4A	5A	5A	6B	6A	6B	7B	7B	7B	7B	9B	8C	10B	10C	11C	12C	10B	11B	13C	13C
4A	5A	5A	6B	7B	6B	7B	7C	7B	7B	9B	9C	10B	10C	12C	13C	10B	11B	13C	13C
4A	5A	6A	6B	7B	7B	8C	8C	7B	8B	9C	9C	11B	11C	12C	13C	10B	12C	14C	14C
4A	5A	6B	6C	7B	7B	8C	8C	8B	8B	10C	10C	11C	11C	13C	14C	11C	12C	14D	14C
4A	5A	6B	7C	7B	7C	8C	8C	8B	8C	10C	10C	11C	11C	13C	14C	11C	13C	14D	15D
5A	5A	6B	7C	7C	7C	9C	8C	8C	9C	10C	10C	12C	12C	14C	15D	12C	13C	15D	15D
5A	6A	6B	7C	8C	8C	9C	9C	8C	9C	11C	11D	12C	12D	14D	15D	12C	14D	15D	16D
5B	6B	7C	7D	8C	8C	9D	9D	9C	9C	11C	11D	12C	12D	14D	16D	13C	14D	16D	16D
5B	6B	7C	8D	8C	8C	9D	9D	9C	10C	11D	11D	13D	13D	15D	16D	13D	14D	16E	17E
5B	6B	7C	8D	8D	8D	10E	10D	9C	10D	12D	12D	13D	13D	15E	16E	14D	15D	17E	17E
5C	6C	7D	8E	8D	8D	10E	10E	9D	10D	12D	12E	13D	13E	16E	17E	14D	15E	17E	18E
5C	6C	7D	8E	9D	9D	10E	10E	10D	11E	13E	13E	14E	14E	16E	17E	14E	16E	17E	18E
5D	6D	7D	8E	9D	9D	10E	10E	10E	11E	13E	13E	14E	14E	16E	18E	15E	16E	18E	19E
