F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1AG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1AG	1	0	0	1AG	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1AG	1AG	1	1	1AG	1AG	0	0	1AG	1	0	0	1	1	0	0	0	0	0	0
1AG	1AG	1	1	1AG	1AG	1	1	1AG	1	0	0	1AG	1	0	0	0	0	0	0
1AG	1AG	1AG	1	2AG	1AG	1	1	1AG	1AG	1	1	2AG	1AG	1	0	0	0	0	0
1AG	1AG	2AG	2AG	2AG	2AG	1AG	1	1AG	1AG	1	1	2AG	2AG	1	0	0	0	1	0
1AG	2AG	2AG	2AG	2AG	2AG	2AG	2AG	1AG	2AG	1AG	2	2AG	2AG	1	1	0	0	1	0
1AG	2AG	2AG	3AG	2AG	2AG	2AG	2AG	2AG	2AG	2AG	2AG	3AG	3AG	2	1	0	0	2AG	1
1AG	2AG	3AG	3AG	3AG	3AG	2AG	3AG	2AG	2AG	2AG	3AG	3AG	3AG	2AG	2	0	0	2AG	1
1AG	2AG	3AG	3AG	3AG	3AG	3AG	3AG	2AG	2AG	3AG	3AG	3AG	3AG	3AG	2	1AG	1	3AG	2
2BG	2AG	3AG	4AG	3AG	3AG	3AG	4AG	2AG	3AG	3AG	4AG	4AG	4AG	3AG	3	1AG	1	3AG	2
2BG	3AG	4AG	4AG	4AG	4AG	4AG	4AG	2AG	3AG	4AG	4AG	4AG	4AG	4AG	4	1AG	2AG	4AG	3
2BG	3AG	4AG	5AG	4AG	4AG	4AG	5AG	2AG	3AG	4AG	5AG	4AG	5AG	4AG	4AG	2AG	2AG	5AG	4
2BG	3AG	4AG	5AG	4AG	4AG	4AG	5AG	3AG	3AG	4AG	5AG	5AG	5AG	5AG	5AG	2AG	3AG	4AG	4
2BG	3BG	5BG	5BG	4BG	5BG	5BG	6BG	3BG	4BG	5BG	6AG	5BG	5BG	5AG	5AG	3AG	4AG	6AG	5AG
2CG	4BG	5BG	6BG	5BG	5BG	5BG	6BG	3BG	4BG	5BG	6AG	6BG	6BG	6AG	6AG	3AG	4AG	6AG	6AG
2CG	4BG	5BG	6BG	5BG	5BG	6BG	7BG	3BG	4BG	6BG	7AG	6BG	6BG	6AG	7AG	4AG	5AG	7AG	6AG
2CG	4BG	6BG	7BG	5BG	6BG	6BG	7BG	3BG	4BG	6BG	7AG	6BG	7BG	7AG	7AG	4AG	5AG	8AG	7AG
2CG	4CG	6CG	7CG	5CG	6CG	6CG	7CG	4CG	5CG	7CG	8BG	7CG	7CG	7BG	8BG	5BG	6AG	8BG	8AG
2CG	4CG	6CG	7CG	6CG	6CG	7CG	8CG	4CG	5CG	7CG	8BG	7CG	7CG	8BG	8BG	5BG	7BG	9BG	8AG
3DG	5CG	7CG	8CG	6CG	7CG	7CG	8CG	4CG	5CG	8CG	9BG	7CG	8CG	8BG	9BG	6BG	7BG	9BG	9AG
3DG	5CG	7CG	8CG	6CG	7CG	7CG	9CG	4CG	5CG	8CG	9CG	8CG	8CG	9CG	10CG	6CG	8CG	10CG	9AG
3DG	5DG	7DG	9DG	7DG	7DG	8DG	9DG	4DG	6DG	8DG	10CG	8DG	9DG	9CG	10CG	7CG	8CG	10CG	10BG
3DG	5DG	8DG	9DG	7DG	8DG	8DG	10DG	4DG	6DG	9DG	10CG	8DG	9DG	10CG	11CG	7CG	9CG	11CG	11BG
3DG	5DG	8DG	9DG	7DG	8DG	9DG	10DG	5DG	6DG	9DG	11DG	9DG	9DG	10DG	11DG	8DG	10DG	12DG	11CG
3EG	6DG	8DG	10DG	7DG	8DG	9DG	11DG	5DG	6DG	10DG	11DG	9DG	10DG	11DG	11DG	8DG	10DG	12DG	12CG
3EG	6EG	9EG	10EG	8EG	9EG	9EG	11EG	5EG	7EG	10EG	12DG	9EG	10EG	11DG	13DG	9DG	11DG	13DG	13DG
3EG	6EG	9EG	11EG	8EG	9EG	10EG	12EG	5EG	7EG	11EG	12EG	10EG	11EG	12EG	13EG	9EG	11EG	13EG	13DG
3EG	6EG	9EG	11EG	8EG	9EG	10EG	12EG	5EG	7EG	11EG	13EG	10EG	11EG	12EG	14EG	10EG	12EG	14EG	14EG
4EG	7EG	10EG	12FG	9EG	10EG	11EG	13FG	6EG	8EG	12EG	14FG	11EG	12EG	13EG	14FG	11EG	13EG	15FG	15FG
