F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	1A	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	1A	1A	1	1A	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1A	1A	1A	1A	1A	1A	1	0	1	1	0	0	1	0	0	0	0	0	0	0
1A	1A	1A	1A	1A	1A	1	1	1A	1	0	0	1A	1	0	0	0	0	0	0
1A	1A	1A	2A	2A	1A	1A	1	1A	1A	1	0	1A	1	0	0	0	0	0	0
1A	2A	2A	2A	2A	2A	1A	1A	1A	1A	1	1	2A	1A	1	0	0	0	0	0
1A	2A	2A	2A	2A	2A	2A	2A	1A	1A	1A	1	2A	2A	1	1	0	0	0	0
1A	2A	2A	2A	2A	2A	2A	2A	1A	2A	2A	1A	2A	2A	1A	1	0	0	0	0
2A	2A	2A	3A	3A	2A	2A	2A	1A	2A	2A	2A	3A	2A	2A	1A	0	0	0	0
2A	2A	3A	3A	3A	3A	3A	3A	2A	2A	2A	2A	3A	3A	2A	2A	0	0	0	0
2A	2A	3A	3A	3A	3A	3A	3A	2A	2A	3A	3A	3A	3A	3A	2A	1	0	1	0
2B	3B	3B	3B	3B	3B	3A	3A	2B	2A	3A	3A	4B	3A	3A	3A	1	1	1A	0
2B	3B	3B	4B	3B	3B	3A	4A	2B	3A	3A	3A	4B	4A	3A	3A	1A	1	2A	1
2B	3B	4B	4B	4B	4B	4A	4A	2B	3A	4A	4A	4B	4A	4A	4A	2A	1A	2A	1
2B	3B	4B	4B	4B	4B	4A	4A	2B	3A	4A	4A	5B	4A	4A	4A	2A	2A	3A	2A
2B	3B	4B	5B	4B	4B	4B	5B	2B	3B	4B	5B	5B	5B	5B	5B	3A	2A	3A	2A
2C	3C	4C	5C	4C	4C	5B	5B	3C	4B	5B	5B	5C	5B	5B	5B	3A	3A	4A	3A
2C	3C	4C	5C	5C	4C	5B	5B	3C	4B	5B	5B	5C	5B	5B	6B	3A	3A	4A	4A
2C	4C	5C	5C	5C	5C	5B	6B	3C	4B	5B	6B	6C	6B	6B	6B	4A	4A	5A	4A
3C	4C	5C	6C	5C	5C	5C	6C	3C	4C	6C	6C	6C	6C	6C	6C	4B	4B	5B	5B
3C	4C	5C	6C	5C	5C	6C	6C	3C	4C	6C	7C	6C	6C	7C	7C	5B	5B	6B	5B
3D	4D	5D	6D	5D	5D	6C	7C	3D	5C	6C	7C	7D	7C	7C	7C	5B	5B	7B	6B
3D	4D	6D	6D	6D	6D	6C	7C	3D	5C	7C	7C	7D	7C	7C	8C	5C	6C	7C	7C
3D	4D	6D	7D	6D	6D	7D	7D	4D	5D	7D	8D	7D	7D	8D	8D	6C	6C	8C	7C
3D	5D	6D	7D	6D	6D	7D	8D	4D	5D	7D	8D	8D	8D	8D	9D	6C	7C	8C	8C
3D	5D	6D	7D	6D	6D	7D	8D	4D	5D	8D	9D	8D	8D	9D	9D	7D	7D	9D	8D
3E	5E	7E	7E	7E	7E	7D	8D	4E	6D	8D	9D	8E	8D	9D	10D	7D	8D	9D	9D
3E	5E	7E	8E	7E	7E	8E	9E	4E	6E	8E	9E	9E	9E	9E	10E	7D	8D	10D	10D
3E	5E	7E	8E	7E	7E	8E	9E	4E	6E	9E	10E	9E	9E	10E	11E	8E	9E	10E	10E
3E	5E	7E	8E	7E	7E	8E	9E	4E	6E	9E	10E	9E	9E	10E	11E	8E	9E	11E	11E
4E	6E	8E	9E	8E	8E	9E	10E	5E	7E	10E	11E	10E	10E	11E	12E	9E	10E	12E	12E
