Race    Stat Bonus Modifications    RR Modifications    Healing and Injury
ST	QU	PR	IN	EM	CO	AG	SD	ME	RE	Ess.	Chan.	Ment.	Poi.	Dis.	Soul.Dep.	Stat.Det.	Rec.X	#Lang	Max.Hits	Base.Hits	Hits.Rank

Campaign Law Races
Common Men	+5	0	0	0	0	0	0	+5	0	0	0	0	0	0	0	12	0	1x	2	120	24	5
High Men	+10	-5	+10	0	0	+10	-5	0	0	0	-5	5	-5	0	0	10	0	0.7x	3	150	30	6
Half-Elves	+5	+10	+10	0	0	+5	+5	-10	0	0	-5	-5	-5	0	50	3	0	0.7x	3	150	30	6
Wood Elves	0	+5	+5	0	+5	0	+10	-20	+5	0	-5	-5	-5	10	100	3	2	1.5x	3	100	20	5
High Elves	0	+10	+10	0	+5	0	+5	-20	+5	0	-5	-5	-5	10	100	2	4	2x	4	110	22	5
Fair Elves	0	+15	+15	0	+5	0	+5	-20	+5	0	-5	-5	-5	10	100	1	6	3x	5	120	24	6
Dwarves	+5	-5	-10	0	-10	+15	-5	+5	0	0	+40	0	+40	20	15	18	-1	0.5x	2	120	24	6
Halflings	-20	+10	-15	0	-5	+15	+15	-10	0	0	+50	0	+40	30	15	18	-1	0.5x	2	80	16	5
Orcs (Lesser)	+5	0	-5	-10	-5	+5	0	-10	-10	-5	0	0	0	0	5	1	0	0.5x	1	80	16	5
Orcs (Greater)	+10	0	-5	-5	-5	10	0	-5	-5	-5	0	0	0	5	10	1	0	0.5x	1	120	24	6
Trolls (Forest)	+15	-10	-10	-10	-10	15	-10	-10	-10	-10	0	0	0	10	10	1	0	0.5x	1	250	50	6

New EA Races
Aesyr (EA4)	+15	+5	+5	-5	-5	+10	+5	-10	-5	-5	-5	-5	-5	+40	+100	10	1	0.5x	2	300	60	11
Corvari (EA6)	-5	+10	0	0	0	-10	+15	0	0	0	-5	-5	-5	-10	-20	6	2	1.2x	2	100	20	4
Half Orc (EA2)	+10	0	+5	-5	0	+10	+5	0	-5	-5	0	0	0	+10	+15	8	1	0.5x	2	130	26	6
Gryx (EA4)	+15	0	0	0	0	+10	0	+5	0	0	0	0	+15	+20	+50	12	0	1x	3	200	40	6
Myotari (EA6)	0	+5	+5	0	0	0	+15	0	-5	-5	0	-5	0	+5	+10	8	2	1x	2	110	22	5
Phrenali (EA4)	0	+10	+20	0	0	+5	+5	+20	0	0	-5	-5	+40	+5	+20	20	3	1.5x	1	110	22	6
Vsori (EA4)	0	+15	0	+5	+5	0	+20	+10	0	0	+5	+5	+5	+10	+10	12	0	1x	2	160	30	6

Fairy Races
Fey Folk
Dwelfs	-10	10	0	-10	5	5	10	0	0	0	-5	20	-5	0	100	9	0	1.5x	1	100	20	5
Gremlins	-10	15	-5	-10	5	5	15	-10	0	0	-5	20	-5	20	100	9	0	1.5x	1	100	20	5
Nixies	-25	20	10	-10	5	-5	20	0	0	0	-5	20	-5	0	100	9	0	1.5x	1	80	16	3
Pysk	-30	25	5	-10	0	-5	25	0	0	0	-5	20	-5	0	100	9	0	1.5x	1	60	12	3
Sylphs	-40	30	0	-10	15	-5	30	0	0	0	-5	20	10	0	100	9	0	1.5x	1	60	12	3
Tyiweth	-20	15	10	-10	10	-5	15	0	0	0	-5	20	-5	0	100	9	0	1.5x	3	100	20	5
House Spirits	-30	20	0	-10	5	0	25	0	0	0	-5	20	-5	0	100	9	0	1.5x	2	60	12	3

Occupational Spirits
Leprechaun	-15	10	0	0	0	0	15	0	0	0	-5	20	-5	10	100	18	-1	.7x	2	90	18	5
Pech	-5	5	0	0	0	0	10	0	0	0	-5	20	-5	50	100	18	-1	.7x	2	150	30	6

Rural Spirits
Fosse-Grim	-5	5	5	0	0	0	5	-5	5	5	-5	-5	-5	30	100	20	-2	.5x	3	120	24	5
Nymphs	-10	10	5	0	0	5	15	-15	0	0	-5	-5	-5	20	100	20	-2	.5x	1	100	20	5
Satyrs	5	10	-5	0	0	10	10	-15	-5	0	-5	-5	-5	20	100	20	-2	.5x	1	150	30	6
Undines	-5	15	10	5	0	10	15	-20	-5	0	-5	-5	-5	20	100	20	-2	.5x	1	100	20	5
Yaai	-5	10	0	0	0	0	20	-10	-5	0	-5	-5	-5	30	100	20	-2	.5x	1	120	24	5

Giant Races
Cyclops	40	-10	-5	-5	-5	30	-5	-10	-5	-10	20	20	20	30	30	9	0	1x	1	550	110	16
Giants
Forest	25	0	-5	-5	-5	20	0	5	-5	-10	0	10	10	10	10	9	0	1x	1	400	80	11
Hill	25	0	-5	-5	-5	20	0	5	-5	-10	0	10	10	10	10	9	0	1x	1	400	80	11
Stone	25	0	-5	-5	-5	20	0	5	-5	-10	0	10	10	10	10	9	0	1x	1	400	80	11
Fire	30	-5	-5	-5	0	25	-5	-5	-5	-5	0	15	15	15	15	9	0	1x	1	450	90	13
Frost	30	-5	-5	-5	0	25	-5	-5	-5	-5	0	15	15	15	15	9	0	1x	1	450	90	13
Water	30	-5	-5	-5	0	25	-5	-5	-5	-5	0	15	15	15	15	9	0	1x	1	450	90	13
Cloud	35	-5	0	-10	5	30	-5	0	0	0	0	20	20	20	20	9	0	1x	2	500	100	16
Mountain	35	-5	0	-10	5	30	-5	0	0	0	0	20	20	20	20	9	0	1x	2	500	100	16
Storm	35	-5	0	-10	5	30	-5	0	0	0	0	20	20	20	20	9	0	1x	2	500	100	16
Trolls
Hill	15	-10	-10	-10	-10	15	-10	-10	-10	-10	0	0	0	10	10	1	0	.5x	1	250	50	6
Stone	15	-10	-10	-10	-10	15	-10	-10	-10	-10	0	0	0	10	10	1	0	.5x	1	250	50	6
Cave	20	-10	-10	-10	-10	20	-15	-10	-10	-10	0	0	0	15	10	1	0	.5x	1	300	60	8
Mountain	20	-10	-10	-10	-10	20	-15	-10	-10	-10	0	0	0	15	10	1	0	.5x	1	300	60	8
Snow	20	-10	-10	-10	-10	20	-15	-10	-10	-10	0	0	0	15	10	1	0	.5x	1	300	60	8
War	20	0	-5	-10	-10	25	5	0	-5	-5	0	0	0	20	10	1	0	.5x	1	350	70	11
Ogres, Small	15	-5	-15	-10	-10	10	-5	-10	-5	-5	5	5	5	10	10	1	0	.7x	1	220	44	6
Ogres, Large	15	-5	-15	-10	-10	10	-5	-10	-5	-5	5	5	5	10	10	1	0	.7x	1	220	44	6
Titans	30	0	30	0	0	30	15	0	5	5	0	0	0	75	100	5	0	1x	6	450	90	11
Underground Races
Gnolls	-10	5	-10	-5	20	5	5	5	0	0	0	5	5	0	0	15	0	.5x	2	100	20	5
Gnomes	-5	-5	-5	-10	15	5	0	5	10	5	0	10	0	0	0	15	0	.5x	4	90	18	4
Goblins	5	-5	-5	-5	-5	10	0	-5	5	-5	0	0	0	5	5	6	0	.5x	1	100	20	5
Halflings	-20	10	-15	0	-5	15	15	-10	0	0	50	0	40	30	15	18	-1	.5x	2	80	16	5
Hobgoblins	10	-5	-5	-5	-5	15	-5	-5	5	-5	0	0	0	5	5	6	0	.5x	1	120	24	6
Kobolds	0	5	-5	-5	-5	10	5	-5	-5	0	0	0	0	5	5	6	0	.5x	1	70	14	4
Troglodytes	10	0	-5	-5	-5	10	0	5	-5	-5	20	20	20	10	15	12	0	.5x	1	150	30	6
Unusual Races
Centaurs	0	-5	0	10	10	0	-5	0	0	0	-5	-5	-5	10	15	10	0	1x	4	150	30	5
Garks	10	10	-5	0	5	15	5	-10	-5	-15	20	5	20	10	5	18	-1	.6x	1	140	28	6
Hira'razhir (avians)	-5	5	0	0	5	-10	15	0	0	0	-5	-5	-5	-10	-20	12	0	1.2x	3	90	18	3
Ldiyva (felines)	0	10	5	0	0	0	10	-5	-5	-5	0	0	0	5	5	15	0	1x	2	120	24	5
Maazhat (lieutenants)	15	-5	-10	10	-5	0	0	5	10	-5	0	0	0	10	20	20	-2	.8x	1	180	36	5
Mermen	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	12	0	1x	2	120	24	5
Minotaur	15	5	10	0	-10	20	5	0	0	0	0	0	0	50	25	8	0	2x	2	210	42	8
Neanderthals	10	0	-5	5	0	10	5	0	-5	-10	25	0	25	5	0	20	-2	.5x	1	150	30	6
Sea-Krai	10	5	-5	0	0	5	10	-5	-5	-5	15	15	15	15	15	20	-2	.6x	1	140	28	6
Sohleugir (lizardmen)	15	5	-5	0	0	10	0	-5	5	0	5	5	5	10	10	15	0	.7x	2	160	32	6
Sstoi'isslythi (reptiles)	-5	0	5	0	10	-5	0	10	0	0	0	0	0	50	-5	10	0	.9x	3	120	24	5
Vulfen (wolfmen)	10	15	-5	0	-5	5	0	-10	0	0	20	20	20	10	10	18	-1	.5x	1	150	30	6
