01-02 FFFF FFFF FFFF FFFF FFFF 01-02
03-10 FFFF FFFF FFFF FFFF FFFF 03-10
11-20 FFFF FFFF FFFF FFFF FFFF 11-20
21-30 1––– –––– –––– –––– –––– 21-30
31-35 11–– 1––– –––– –––– –––– 31-35
36-40 211– 11–– –––– –––– –––– 36-40
41-45 221– 22–– –––– –––– –––– 41-45
46-50 3221 221– –––– 1––– ––1– 46-50
51-55 3333 3321 –––– 11–– ––2– 51-55
56-60 4345 3332 –––– 11–– ––2– 56-60
61-65 4A 4 5 6 4443 –––– 221– –131 61-65
66-70 5A 4A 6 6 4A 4 5 4 1––– 232– 124A2 66-70
71-75 5A 5A 7A 7 5A 5A 6 5 111– 3331 235A3A 71-75
76-80 6A 5A 7A 7A 5A 5A 7A 6 2121 3442 346A4A 76-80
81-85 6A 6A 8A 8A 6A 6A 8A 7A 2232 4453A 45A7A5A 81-85
86-90 6A 6A 8A 8A 6A 6A 8A 8A 2 2 4 3A 4 5 5A 4A 5 6A 8A 6A 86-90
91-95 7A 7A 9A 9A 7A 7A 9A 9A 3 3 5A 4A 5A 5A 6A 5A 6A 7A 8A 7A 91-95
96-100 7A 7A 9A 9A 7A 7A 9A 10A 3A 3A 5A 5A 5A 6A 6A 6A 6A 7A 9A 8A 96-100
101-105 7A 7A 10A 10A 8A 8A 10A 10A 3A 4A 6A 6A 6A 6A 7A 7A 7A 8A 9A 9A 101-105
106-110 8A 8A 10A 10A 8A 8A 10A 11B 4A 4A 6A 7A 6A 7A 7A 8A 7A 8A 10A 9B 106-110
111-115 8A 8A 11A 11B 9A 9A 11B 11B 4A 5A 7A 8A 7A 7A 8A 8A 8A 9A 10B 10B 111-115
116-120 8A 8B 11B 11B 9B 9B 11B 12B 4A 5A 7A 8A 7A 8A 8A 9A 8A 9A 11B 10B 116-120
121-125 9B 9B 12B 12B 10B 10B 12B 12B 5A 6A 8A 9A 8A 8A 9A 10 9A 10A 11B 11B 121-125
126-130 9B 9B 12B 12B 10B 10B 12B 13B 5A 6A 8A 9B 8A 9A 9A 10 9A 10B 12B 11B 126-130
131-135 9B 9B 13B 13B 11B 11B 13B 13B 5A 7A 9B 10B 9A 9A 10A 11 10B 11B 12B 12B 131-135
136-140 10B 10B 13B 13B 11B 11B 13B 14B 5A 7A 9B 10B 9B 10A 10B 11 10B 11B 13B 12B 136-140
141-145 10B 10B 14B 14B 12B 12B 14B 14B 6A 8B 10B 11B 10B 10B 11B 12 11B 12B 14B 13B 141-145
146-150 10B 10B 14B 14B 12B 12B 14B 14B 6A 8B 10B 11B 10B 10B 11B 12 12B 12B 14B 14B 146-150
100 16D 16D 18D 18D 17D 17D 18D 18D 12C 14C 16C 16C 14C 14C 16C 17 17C 17C 18C 18C 100
