UM 01-02 F F F F F F F F F F F F F F F F F F F F 01-02 UM
03-10 F F F F F F F F F F F F F F F F – – – – 03-10
11-20 F F F F F F F F – – – – – – – – – – – – 11-20
21-30 – – – – – – – – – – – – – – – – – – – – 21-30
31-35 – – – – – – – – – – – – – – – – – – – – 31-35
36-40 – – – – – – – – – – – – – – – – – – – – 36-40
41-45 1 – – – – – – – – – – – – – – – – – – – 41-45
46-50 1 1 – – 1 – – – – – – – 1 – – – – – – – 46-50
51-55 1 1 1 – 2 1 – – – – – – 2 1 – – – – – – 51-55
56-60 2 2 2 1 2 2 1 – – – – – 2 2 1 – – – 1 – 56-60
61-65 2 2 3 2 3 2 2 1 1 – – – 3 3 2 – – – 2 1 61-65
66-70 2 3 4 3 3 3 3 2 1 1 1 – 3 4 3 1 – – 4A 2 66-70
71-75 3 3 5 4 4 3 4 3 2 2 2 1 4 5 4 2 – 1 5A 4 71-75
76-80 3 4 6 5 4 4 5 4 2 3 4 3 5A 6 6 4 1 3 6A 6A 76-80
81-85 3A 4 7 6 5A 4A 6 5 3 4 6 5 6A 7A 8A 6 3 5 8B 8A 81-85
86-90 4A 5A 7A 7 5A 5A 7A 6 3A 4 8 7A 7A 8A 9A 8A 5 7A 10B 10A 86-90
91-95 4A 6A 8A 8A 6A 5A 8A 7A 4A 5A 10A 9A 8A 9A 10B 10A 7A 9A 12B 12B 91-95
96-100 4A 6A 8A 9A 6A 6A 9A 8A 4A 5A 10A 11A 9A 10B 11B 12B 9A 11A 14B 14B 96-100
101-105 5A 6A 9A 10A 7A 6A 10A 9A 5A 6A 11A 12B 10B 11B 12B 14B 11A 13A 15C 16B 101-105
106-110 5A 7A 9A 10A 7A 7A 11A 10B 5A 6A 11B 13B 11B 12B 13B 16B 12A 14B 16C 18C 106-110
111-115 5A 7A 10A 11B 8A 7A 12B 11B 6A 7B 12B 13B 12B 13B 14B 17C 13B 15B 17C 19C 111-115
116-120 6A 7A 10A 11B 8A 8A 12B 12B 6A 7B 12B 14B 13B 14B 15C 18C 14B 16B 18C 20C 116-120
121-125 6A 8A 11B 12B 9A 8A 13B 13B 7A 8B 13B 14C 14B 15C 16C 19C 15B 17C 19C 21C 121-125
126-130 6A 8A 11B 12B 9B 9B 13B 14B 7B 8B 13B 15C 15C 16C 17C 20C 16B 18C 20C 22C 126-130
131-135 7A 8B 12B 13C 10B 9B 14B 15C 7B 9B 14C 15C 16C 16C 17C 21C 17C 19C 21C 23C 131-135
136-140 7A 9B 12B 13C 10B 10B 14C 15C 8B 9B 14C 16C 16C 17C 18C 22C 18C 20C 22C 24C 136-140
141-145 7B 9B 13C 14C 11C 11C 15C 16C 8B 10C 15C 15C 17C 18C 19C 23C 19C 21C 23C 25C 141-145
146-150 7B 9C 13C 14C 11C 11C 15C 16C 8B 10C 15C 16C 18C 18C 20C 24C 20C 22C 24C 26C 146-150
UM 100 10E 12E 16E 17E 14E 14E 18E 20E 11E 13E 18E 20E 22E 22E 24E 28E 24E 26E 28E 30E 100 UM
