UM 01-02 FFFF FFFF FFFF FFFF FFFF 01-02 UM
03-10 FFFF FFFF FFFF FFFF –––– 03-10
11-20 FFFF FFFF –––– –––– –––– 11-20
21-30 1––– –––– –––– –––– –––– 21-30
31-35 11–– 1––– –––– –––– –––– 31-35
36-40 221– 11–– –––– –––– –––– 36-40
41-45 2321 221– –––– 1––– –––– 41-45
46-50 3432 2311 1––– 21–– –––– 46-50
51-55 3A 4 4 3 2422 111– 321– –––– 51-55
56-60 4A 5A 5 4 3523 2221 4A32– ––8A– 56-60
61-65 4A 5A 6 5 4A 6A 3 4 2343 5A4A3A2 ––9B– 61-65
66-70 5A 6A 7A 6 4A 7A 4 5 3A 4 5 5A 6A 5A 4B 3A 6 8A 10B 10A 66-70
71-75 5A 6A 7A 7A 5A 8A 5A 6 4A 5A 6A 7A 7A 6B 5B 4B 7A 9B 11C 11B 71-75
76-80 5A 7A 8A 8A 6A 9A 6A 7A 5A 6A 7A 8B 8B 7B 6B 6B 8A 10B 12C 12C 76-80
81-85 6A 7A 8A 9A 6A 9A 7A 8A 6A 7A 8B 9B 9B 8C 7C 7C 9B 11C 13D 13C 81-85
86-90 6A 8A 9A 10B 7A 10A 8B 9B 6B 8B 9B 10C 10C 9C 8C 8C 10B 12C 14D 14D 86-90
91-95 6A 8B 9B 11B 8A 10A 9B 10B 7B 9B 10C 11C 11C 10C 10C 12D 11C 13D 15D 15D 91-95
96-100 7B 9B 10B 12C 8B 11B 10B 11C 7B 10C 11C 12D 12C 11D 12D 14D 12C 14D 16D 16D 96-100
101-105 7B 9B 10B 13C 9B 11B 11C 12C 8C 11C 12C 13C 13D 12D 14D 16D 13D 15D 17E 18D 101-105
106-110 7B 10B 11C 14C 10C 12C 12C 13C 8C 12C 13D 14D 14D 13D 16D 18E 14D 16E 18E 20E 106-110
111-115 8B 10C 12C 14C 10C 12C 13C 14D 9C 13D 14D 15D 15D 14E 18E 20E 16D 18E 20E 22E 111-115
116-120 8C 11C 12C 15D 11C 13C 14C 15D 9C 13D 15D 16E 16E 16E 20E 22E 18E 20E 22E 24E 116-120
121-125 9C 12C 13C 16D 12C 13C 15D 16D 10D 14D 16E 17E 17E 18E 22E 24E 20E 22E 24E 26E 121-125
126-130 9C 12C 14D 16D 12D 14D 16D 18E 10D 14E 17E 18E 18E 20E 24E 26E 22E 24E 26E 28E 126-130
131-135 9C 13D 15D 17E 13D 14D 17E 19E 11E 15E 18E 19E 20E 22E 26E 28E 24E 26E 28E 30E 131-135
136-140 10D 13D 16E 17E 14D 15D 18E 20E 11E 15E 19E 20E 22E 24E 28E 30E 26E 28E 30E 32E 136-140
141-145 10D 14E 17E 18E 15E 16E 20E 21E 12E 16E 20E 21E 24E 26E 30E 32E 28E 30E 32F 34F 141-145
146-150 10E 14F 18F 18F 16F 16F 22F 22F 12F 16F 22F 22F 26F 28F 31F 34F 30F 32F 34F 36G 146-150
UM 100 14F 18F 22G 22G 20G 20G 26G 26G 16F 20F 26G 26G 30F 32F 35G 38G 36G 38G 40G 42G 100 UM
