UM 01-02 F F F F F F F F F F F F F F F F F F F F 01-02 UM
03-10 F F F F F F F F F F F F F F F F – – – – 03-10
11-20 F F F F F F F F – – – – – – – – – – – – 11-20
21-30 1 – – – – – – – – – – – – – – – – – – – 21-30
31-35 1 1 – – 1 – – – – – – – – – – – – – 1 – 31-35
36-40 2 2 1 – 1 1 – – – – – – – – – – – – 2 – 36-40
41-45 2 3 2 1 2 2 1 – 1 – – – 1 1 – – 1 1 4A – 41-45
46-50 3 4 3 3A 2 3 3 1 1 1 1 – 2 2 1 – 2 3 6A 3A 46-50
51-55 3 4 4 4A 2 4 4 3A 2 2 3 1 3 3 2 1A 3 5A 7A 5A 51-55
56-60 4 5 5A 6A 3 5 6 5A 2 3 5 3A 4 4 3 3A 4A 6A 8A 7A 56-60
61-65 4 5 6A 7A 4 6 7A 7A 3 4 6 5A 5 5 4 5B 5A 7A 9A 9B 61-65
66-70 5 6 7A 9A 4 7 8A 9A 3 4 7A 7B 6 6 5A 7B 6A 8A 10B 10B 66-70
71-75 5 6A 8A 10B 5A 8 9A 10B 4 5 8A 9B 7A 7 6A 9C 7A 9A 11B 11C 71-75
76-80 5 7A 9A 11B 6A 9A 10B 11B 4 5A 9B 11C 8A 8A 7A 11C 8A 10B 12C 12C 76-80
81-85 6A 7A 10B 12B 6A 9A 11B 13C 5 6A 10B 13C 9A 9A 8B 13C 9B 11B 13C 13D 81-85
86-90 6A 8A 11B 14C 6A 10A 12B 14C 6A 7A 12C 15C 10A 10B 9B 15D 10B 12B 14D 14D 86-90
91-95 6A 8B 12B 15C 8A 10A 13C 16C 6A 8B 14C 17D 11B 11B 10C 16D 11B 13C 15D 16D 91-95
96-100 7A 9B 13C 16C 8B 11A 14C 17C 7B 9B 15C 18D 12B 12C 11C 17D 12C 14C 16D 18D 96-100
101-105 7A 9B 14C 17C 9B 11B 15C 18D 7B 10B 16D 19D 13C 13C 12D 18E 13C 15C 17D 20E 101-105
106-110 7B 10B 15C 18D 10B 12B 16C 19D 8B 11B 17D 20E 14C 14D 13D 19E 14C 16D 18E 22E 106-110
111-115 8B 10B 16C 19D 10B 12B 17D 20D 8B 11C 18D 21E 15D 15D 15D 20E 16D 18D 20E 24E 111-115
116-120 8B 11C 17D 20D 11C 13C 19D 22E 9C 12C 19E 22E 16D 16D 16E 22E 18D 20D 22E 26E 116-120
121-125 9C 12C 18D 21E 12C 14C 20E 23E 10C 13C 20E 23E 17D 17E 18E 24E 20D 22E 24E 28E 121-125
126-130 9C 12C 19D 22E 12C 14C 20E 23E 10C 13C 21E 24E 18E 18E 20E 26E 22E 24E 26E 30E 126-130
131-135 9C 13C 20E 23E 13D 14D 21E 24E 10C 14D 22E 25E 19E 19E 21E 28E 24E 26E 28E 32E 130-135
136-140 10C 13D 21E 24E 14D 15D 22E 25E 11D 14D 23E 26E 20E 20E 22E 30E 26E 28E 30E 34E 136-140
141-145 10D 14D 22E 25E 15D 16D 23E 26E 11D 15E 24E 27E 21E 21E 24E 32E 28E 30E 32E 36E 141-145
146-150 10D 14E 23E 26E 16E 16E 24E 27E 11D 15E 25E 28E 22E 22E 26E 34E 30E 32E 34E 38E 146-150
UM 100 14E 18E 28E 32E 20E 20E 28E 32E 15E 19E 29E 33E 25E 27E 30E 38E 36E 38E 40E 45E 100 UM
