UM 01-02 FFFF FFFF FFFF FFFF FFFF 01-02 UM
03-10 FFFF FFFF FFFF FFFF –––– 03-10
11-20 FFFF FFFF –––– –––– –––– 11-20
21-30 11–– –––– –––– –––– –––– 21-30
31-35 231– 31–– –––– –––– –––– 31-35
36-40 3532 531– –––– 1––– –––– 36-40
41-45 5A 6 5 3 6531 –––– 21–– ––3A– 41-45
46-50 6A 7A 7 5 7A 7 5 3 1––– 331– 115A1 46-50
51-55 7A 8A 8A 7 8A 9A 7A 5 211– 4A5A31 237B3 51-55
56-60 8A 9A 9A 9A 9A 10A 9A 7A 3331 5A6A5A3 459B5A 56-60
61-65 9A 10A 10A 11B 10A 11A 11A 9B 4553 6A7B7B5A 67A11C7B 61-65
66-70 10A 11A 11B 13B 11B 12A 12B 11B 5A 7 7 5A 7B 8B 8B 7B 8A 9A 13D 9C 66-70
71-75 11A 12B 12B 14C 12B 13B 13B 13B 6A 8A 9A 7A 8B 9C 9C 9C 10A 11B 15D 11D 71-75
76-80 12B 13B 13B 15C 13B 13B 14B 15B 7A 9A 11A 9B 9C 10C 10D 11D 12B 13B 17E 13D 76-80
81-85 13B 14B 14C 16C 13B 14B 15B 17C 8A 10B 12B 11B 10C 11D 11D 12E 14B 15C 19E 15E 81-85
86-90 14B 14B 15C 17D 14C 14B 16C 18C 8A 11B 13B 13C 11D 12D 12E 14E 16C 17C 21F 17E 86-90
91-95 14B 15C 16C 18D 14C 15C 17C 19D 9B 12B 14C 15C 12D 13E 13E 16E 18C 19D 23F 19F 91-95
96-100 15C 15C 17D 19D 15C 15C 18D 20D 9B 12C 15C 15C 13E 14E 14E 18F 20D 21D 25F 21F 96-100
101-105 15C 16C 18D 20E 15D 15D 19D 21E 10B 13C 16D 18D 14E 15E 15E 15F 22D 23E 27G 23F 101-105
106-110 16C 16D 19E 21E 16D 16D 20E 22E 10C 13C 17D 19E 15E 16f 16F 22F 24E 25E 29G 25G 106-110
111-115 16D 17D 20E 22F 16E 16E 21E 23F 11C 14D 18E 20E 16F 17F 18F 24G 25E 27F 31G 27G 111-115
116-120 16D 17E 21F 23F 17E 17E 22F 24F 11D 14D 19E 21F 17F 18F 20G 25G 26F 28F 32H 29G 116-120
121-125 17E 18E 22F 24G 17F 18F 23F 25G 12D 15E 20F 22F 18F 19G 22G 28G 27F 29G 33H 31H 121-125
126-130 17E 18F 23G 25G 18F 19F 24G 26G 12E 15E 21F 23G 19G 20G 24G 30H 28G 30G 34H 33H 126-130
131-135 17F 19F 24G 26G 19G 20G 25G 27H 13E 16F 22G 24G 20G 21G 26H 31H 29G 31H 35I 35H 130-135
136-140 18F 19G 25H 26H 20G 21G 26H 27H 13F 16F 23G 24H 21G 22H 28H 33H 30H 32H 36I 37I 136-140
141-145 18F 20G 26H 27H 21H 22H 27H 28H 14F 17G 24H 25H 22H 23H 29H 34I 32H 33I 37I 39I 141-145
146-150 18G 20H 27I 27I 22H 22H 28I 28I 14G 18H 25I 25I 23H 24H 30I 35I 32I 34I 38I 40I 146-150
UM 100 22H 25I 32J 32J 25I 25I 33J 33J 20H 25I 30J 30J 27I 30I 38J 42J 38J 42J 43J 45J 100 UM
