UM 01-04 F F F F F F F F F F F F F F F F F F F F 01-04 UM
05-08 – – – – – – – – – – – – – – – – – – – 1 05-08
09-12 – – – – – – – – – – – – – – – – – – 1 2 09-12
13-16 – – – – – – – – – – – – – – – 1 – – 2 3A 13-16
17-20 – – – 1 – – – 1 – – – 1 – – – 1 – 1 3 4A 17-20
21-24 – – 1 2 – – 1 2 – – 1 2 – – 1 2 1 2 4A 5A 21-24
25-28 – 1 2 3 – – 2 3 – 1 2 4 – 1 2 3 2 3 5A 6A 25-28
29-32 1 2 3 4A 1 1 3 4A 1 2 3 5A 1 2 3 4A 3 4A 6A 7A 29-32
33-36 2 3 4A 5A 1 2 4A 5A 2 3 4A 6A 2 3 4 5A 4A 5A 7A 8A 33-36
37-40 3 4 5A 6A 2 3 5A 6A 3 4 5A 7A 3 4 5A 6A 5A 6A 8A 9A 37-40
41-44 4 5A 6A 7A 3 4A 6A 7A 4 5A 6A 8A 4A 5A 6A 7A 6A 7A 9A 10B 41-44
45-48 5 5A 7A 8A 4A 5A 7A 8A 5 6A 7A 9A 5A 6A 7A 8A 7A 8A 10B 11B 45-48
49-52 5A 6A 8A 9A 5A 6A 8A 9A 5A 7A 8A 10A 6A 7A 8A 9B 8A 9A 11B 12B 49-52
53-56 5A 6A 9A 10A 6A 7A 9A 10B 6A 7A 10A 11B 7A 8A 9A 10B 9A 10B 12B 13B 53-56
57-60 6A 7A 10A 11B 7A 8A 10B 11B 6A 8A 11B 12B 7A 9A 10A 11B 10B 11B 13B 14C 57-60
61-64 6A 7A 11B 12B 8A 8A 11B 12B 7A 8A 12B 13B 8A 9B 11B 12B 11B 12B 14C 15C 61-64
65-68 6A 8A 12B 13B 8A 9A 12B 13B 7A 9B 13B 14B 8B 10B 12B 13B 12B 13B 15C 16C 65-68
69-72 7A 8B 12B 13B 9A 9B 13B 14B 7A 9B 14B 15B 9B 10B 13B 14C 13B 14B 16C 17C 69-72
73-76 7A 9B 13B 14B 9B 10B 14B 14B 8B 10B 15B 15C 9B 11B 14B 15C 14B 15C 17C 18C 73-76
77-80 7B 9B 13B 14B 9B 10B 14B 15C 8B 10B 15C 16C 10B 11B 15B 16C 15C 16C 18C 19C 77-80
81-84 8B 10B 14B 15C 10B 11B 15C 15C 8B 11B 16C 16C 10B 12B 15C 17C 16C 17C 19C 20C 81-84
85-88 8B 10B 14C 15C 11B 11B 15C 16C 9B 11B 16C 17C 11B 12B 16C 18C 16C 18C 20C 21C 85-88
89-92 8B 11B 15C 16C 11B 12B 16C 16C 9B 12B 17C 17C 12B 13B 17C 19C 17C 19C 21C 22C 89-92
93-95 8B 11B 15C 16C 12B 12B 16C 17C 9B 12B 17C 18C 13B 13B 18C 19C 17C 19C 21C 22C 93-95
UM 96-99 9C 12C 16C 17D 13C 13C 17C 18D 10C 13C 18C 19D 14C 14C 19C 20D 18C 20D 22D 24D 96-99 UM
UM 100 13D 16E 20E 21E 17E 17E 21E 22E 14D 17E 22E 23E 18E 18E 23E 24E 22E 24E 26E 28E 100 UM
