01-04 FFFF FFFF FFFF FFFF FFFF 01-04
05-08 –––– –––– –––– –––– ––11 05-08
09-12 –––– –––– –––1 –––1 ––23 09-12
13-16 –––1 –––1 ––12 ––12 –14A5A 13-16
17-20 ––12 ––12 –123A –124A 126A7A 17-20
21-24 – 1 2 3A – 1 2 3A 1 1 3A 4A 1 2 3A 6A 2 3A 7A 9A 21-24
25-28 1 2 3A 4A 1 2 3A 4A 1 2 4A 5A 2 3A 4A 7A 3A 4A 9A 11A 25-28
29-32 2 3 4A 5A 2 3 4A 5A 2 3A 5A 6A 3A 4A 5A 9A 4A 5A 11A 12A 29-32
33-36 3 4A 5A 6A 3A 4A 5A 6A 3A 3A 6A 7A 4A 5A 6A 11B 5A 6A 12A 13B 33-36
37-40 3 5A 6A 7A 4A 5A 6A 7A 4A 4A 7A 8B 5A 6A 7A 12B 6A 7A 13B 14B 37-40
41-44 4A 6A 7A 8A 5A 6A 7A 8B 5A 4A 8B 9B 6A 7A 8B 13B 7A 8A 14B 15B 41-44
45-48 4A 7A 8A 9B 6A 7A 8B 9B 5A 5A 9B 10B 7A 8B 9B 14B 8A 9B 15B 16B 45-48
49-52 5A 8A 9A 10B 7A 8A 9B 10B 6A 6B 10B 11B 8B 9B 10B 15B 9B 10B 16B 17C 49-52
53-56 5A 8A 10B 11B 8A 9A 10B 11B 6A 7B 11B 12B 9B 10B 11B 16C 10B 11B 17C 18C 53-56
57-60 6A 9A 11B 12B 9A 10A 11B 12B 7B 8B 12B 13C 10B 11B 12B 17C 11B 12B 18C 19C 57-60
61-64 6A 9B 12B 13B 10A 11B 12B 13B 7B 9B 13C 14C 11B 12B 13C 18C 12B 13B 19C 20C 61-64
65-68 7A 10B 13B 14B 11B 11B 13B 14C 8B 10B 14C 15C 12B 13C 14C 19C 13B 14C 20C 21C 65-68
69-72 7B 10B 14B 15C 11B 12B 14C 15C 8B 11C 15C 16C 13C 14C 15C 20C 14C 15C 20C 22C 69-72
73-76 8B 11B 15C 16C 12B 12B 15C 16C 9B 12C 16C 17C 14C 15C 16C 21C 15C 16C 21C 23D 73-76
77-80 8B 11B 15C 16C 12B 13B 16C 17C 10C 13C 17C 18C 15C 16C 17C 22D 16C 17C 22D 24D 77-80
81-84 9B 12C 16C 17C 13B 13C 17C 18C 11C 14C 18C 19D 16C 17C 19D 23D 17C 18C 23D 25D 81-84
85-88 9B 12C 16C 17C 13C 14C 17C 18C 12C 15C 19D 20D 17C 18D 21D 24D 18C 20C 24D 26D 85-88
89-92 10C 13C 17C 18C 14C 14C 18C 19C 13C 16C 20D 21D 18D 19D 23D 25D 20C 22D 25D 27D 89-92
93-95 10C 13C 17C 18C 14C 14C 18C 19C 14C 17C 22D 23D 20D 20D 25D 26D 22C 24D 26D 28D 93-95
UM 96-97 11C 14D 18D 19D 15C 15C 19D 20D 15D 18D 23D 24E 21D 21D 26D 27E 23D 25D 27E 29E 96-97 UM
UM 98-99 13D 16D 20D 21E 17D 17D 21D 22E 17D 20E 25E 26E 23E 23E 28E 29E 25E 27E 29E 31E 98-99 UM
UM 100 15E 18E 22E 23E 19E 19E 23E 24E 19E 22E 27E 28E 25E 25E 30E 31E 27E 29E 31E 33E 100 UM
